Datetime,Close,High,Low,Volume
2024-04-21 19:00:00+00:00,64538.0,64856.05,64528.38,399.27155
2024-04-21 20:00:00+00:00,64646.17,64722.04,64362.5,717.30934
2024-04-21 21:00:00+00:00,64661.7,65167.19,64646.16,945.68782
2024-04-21 22:00:00+00:00,65030.42,65110.0,64569.07,818.30555
2024-04-21 23:00:00+00:00,64941.15,65063.0,64866.0,419.01094
2024-04-22 00:00:00+00:00,64908.96,65158.08,64758.93,689.30247
2024-04-22 01:00:00+00:00,64658.0,65640.0,64604.56,2790.47125
2024-04-22 02:00:00+00:00,64806.69,64862.5,64500.0,1034.86764
2024-04-22 03:00:00+00:00,65703.5,66090.69,64754.0,3405.32163
2024-04-22 04:00:00+00:00,65738.48,65878.17,65509.24,1663.32692
2024-04-22 05:00:00+00:00,66377.99,66414.81,65701.99,1747.58092
2024-04-22 06:00:00+00:00,66300.0,66412.6,66150.8,1341.25181
2024-04-22 07:00:00+00:00,65980.0,66479.8,65979.33,1346.21576
2024-04-22 08:00:00+00:00,65961.59,66204.44,65905.73,913.51618
2024-04-22 09:00:00+00:00,65938.0,66055.17,65801.76,798.46267
2024-04-22 10:00:00+00:00,66048.18,66154.87,65890.0,793.68807
2024-04-22 11:00:00+00:00,65877.47,66108.0,65702.0,899.90178
2024-04-22 12:00:00+00:00,65995.48,65995.48,65626.87,1032.65578
2024-04-22 13:00:00+00:00,66114.0,66260.54,65693.98,1532.55331
2024-04-22 14:00:00+00:00,66031.77,66477.53,65962.16,1705.44348
2024-04-22 15:00:00+00:00,65994.38,66085.46,65665.86,1190.76415
2024-04-22 16:00:00+00:00,66154.73,66419.56,65913.52,1019.60205
2024-04-22 17:00:00+00:00,66540.0,66824.28,66133.35,1831.36278
2024-04-22 18:00:00+00:00,66331.17,66691.22,66293.05,822.90645
2024-04-22 19:00:00+00:00,66524.77,66609.33,66141.07,900.74163
2024-04-22 20:00:00+00:00,66509.5,66760.56,66394.52,731.98121
2024-04-22 21:00:00+00:00,66526.94,66558.91,66342.1,481.11092
2024-04-22 22:00:00+00:00,67027.97,67200.0,66526.94,1601.55463
2024-04-22 23:00:00+00:00,66819.32,67232.35,66790.0,1123.41022
2024-04-23 00:00:00+00:00,67028.14,67032.83,66712.96,955.77618
2024-04-23 01:00:00+00:00,66780.0,67183.01,66777.4,938.22206
2024-04-23 02:00:00+00:00,66615.79,66912.0,66558.31,678.84802
2024-04-23 03:00:00+00:00,66435.01,66756.0,66419.55,670.19135
2024-04-23 04:00:00+00:00,66244.02,66582.67,66181.1,1001.56422
2024-04-23 05:00:00+00:00,66490.01,66609.31,66192.0,851.5907
2024-04-23 06:00:00+00:00,66378.16,66646.0,66304.0,580.239
2024-04-23 07:00:00+00:00,66099.79,66451.19,66020.0,1071.86288
2024-04-23 08:00:00+00:00,66215.07,66260.47,65963.4,975.3633
2024-04-23 09:00:00+00:00,66058.99,66309.3,66046.63,745.14765
2024-04-23 10:00:00+00:00,66210.74,66310.44,66058.99,860.43436
2024-04-23 11:00:00+00:00,66043.99,66236.13,65852.35,1083.70598
2024-04-23 12:00:00+00:00,66134.91,66165.0,65765.81,1236.85731
2024-04-23 13:00:00+00:00,66509.29,66590.92,66049.4,1818.78977
2024-04-23 14:00:00+00:00,66909.78,67130.0,66420.0,2790.6783
2024-04-23 15:00:00+00:00,66419.56,66930.47,66328.44,1490.1268
2024-04-23 16:00:00+00:00,66747.36,66807.91,66350.91,806.18323
2024-04-23 17:00:00+00:00,66753.71,66905.99,66584.61,550.60498
2024-04-23 18:00:00+00:00,66783.56,66846.0,66589.47,670.90051
2024-04-23 19:00:00+00:00,66484.43,66783.57,66390.0,588.11149
2024-04-23 20:00:00+00:00,66352.94,66484.96,65980.0,1034.33548
2024-04-23 21:00:00+00:00,66352.01,66464.0,66258.86,344.19246
2024-04-23 22:00:00+00:00,66362.85,66455.76,66278.59,425.43748
2024-04-23 23:00:00+00:00,66414.0,66433.31,66120.0,430.73653
2024-04-24 00:00:00+00:00,66742.19,66747.73,66390.0,1061.3394
2024-04-24 01:00:00+00:00,66743.25,66900.0,66682.33,629.4891
2024-04-24 02:00:00+00:00,66530.01,66766.0,66441.32,725.97174
2024-04-24 03:00:00+00:00,66608.14,66714.43,66514.44,629.55605
2024-04-24 04:00:00+00:00,67008.0,67065.0,66589.01,952.40952
2024-04-24 05:00:00+00:00,66735.06,67070.43,66633.0,901.02816
2024-04-24 06:00:00+00:00,66778.26,66792.0,66552.37,600.73196
2024-04-24 07:00:00+00:00,66630.9,66883.68,66588.0,779.70929
2024-04-24 08:00:00+00:00,66533.99,66743.01,66485.3,858.92516
2024-04-24 09:00:00+00:00,66366.01,66560.51,66272.0,746.53492
2024-04-24 10:00:00+00:00,66432.25,66517.85,66203.05,774.85303
2024-04-24 11:00:00+00:00,66571.52,66631.01,66361.73,729.07431
2024-04-24 12:00:00+00:00,66353.02,66737.0,66351.1,964.97781
2024-04-24 13:00:00+00:00,66054.99,66355.99,65834.28,2408.77307
2024-04-24 14:00:00+00:00,65234.85,66200.0,64732.34,5091.40842
2024-04-24 15:00:00+00:00,64610.11,65243.73,64519.03,2853.02952
2024-04-24 16:00:00+00:00,64798.0,64959.74,64348.0,2314.85234
2024-04-24 17:00:00+00:00,64889.47,65156.95,64766.33,1511.18797
2024-04-24 18:00:00+00:00,64127.04,64920.0,64070.15,1692.03623
2024-04-24 19:00:00+00:00,63976.06,64486.0,63736.7,2143.63916
2024-04-24 20:00:00+00:00,64110.0,64240.01,63606.06,2421.22075
2024-04-24 21:00:00+00:00,64399.37,64447.91,64000.0,895.93229
2024-04-24 22:00:00+00:00,64096.0,64404.0,63956.49,872.75605
2024-04-24 23:00:00+00:00,64289.59,64339.83,63825.72,1036.26012
2024-04-25 00:00:00+00:00,64557.25,64741.47,64226.6,1141.1356
2024-04-25 01:00:00+00:00,64067.98,64657.15,64046.74,968.97651
2024-04-25 02:00:00+00:00,64299.98,64338.58,63860.0,902.4167
2024-04-25 03:00:00+00:00,64282.01,64464.29,64128.3,688.89208
2024-04-25 04:00:00+00:00,64337.99,64397.78,64058.0,664.86492
2024-04-25 05:00:00+00:00,64223.36,64377.6,64025.5,653.12285
2024-04-25 06:00:00+00:00,64288.0,64391.99,64195.7,363.60804
2024-04-25 07:00:00+00:00,64017.99,64379.85,63824.07,951.17474
2024-04-25 08:00:00+00:00,63948.78,64176.86,63708.2,1329.27338
2024-04-25 09:00:00+00:00,63966.02,64192.0,63809.13,833.85634
2024-04-25 10:00:00+00:00,63462.01,63966.03,63337.25,2418.87397
2024-04-25 11:00:00+00:00,63861.23,63994.23,63447.37,1202.36814
2024-04-25 12:00:00+00:00,63429.82,64302.99,63267.03,2594.21284
2024-04-25 13:00:00+00:00,63428.97,63571.95,62794.0,3722.93106
2024-04-25 14:00:00+00:00,63384.96,63867.74,63215.99,1611.79869
2024-04-25 15:00:00+00:00,64135.94,64198.4,63265.95,1612.29328
2024-04-25 16:00:00+00:00,64445.45,64503.46,63971.48,1744.3983
2024-04-25 17:00:00+00:00,64704.0,64856.85,64374.95,2216.39074
2024-04-25 18:00:00+00:00,64712.1,64975.0,64452.21,1267.61008
2024-04-25 19:00:00+00:00,64747.11,64786.0,64561.29,665.00315
2024-04-25 20:00:00+00:00,64794.29,64992.0,64489.3,1065.89632
2024-04-25 21:00:00+00:00,64710.01,65297.94,64681.34,1312.0085
2024-04-25 22:00:00+00:00,64602.99,64740.0,64556.0,641.89344
2024-04-25 23:00:00+00:00,64498.34,64747.12,64447.75,768.46371
2024-04-26 00:00:00+00:00,64307.03,64557.03,64111.01,1135.47394
2024-04-26 01:00:00+00:00,64402.97,64662.5,63890.82,1576.08068
2024-04-26 02:00:00+00:00,64499.91,64662.53,64304.88,899.9862
2024-04-26 03:00:00+00:00,64381.24,64506.25,64294.78,889.56307
2024-04-26 04:00:00+00:00,64210.85,64391.37,64175.32,651.54811
2024-04-26 05:00:00+00:00,64553.99,64574.32,64000.02,1159.08862
2024-04-26 06:00:00+00:00,64377.57,64576.26,64256.25,587.48156
2024-04-26 07:00:00+00:00,64276.95,64610.82,64240.21,1422.47536
2024-04-26 08:00:00+00:00,64412.5,64468.92,64234.19,905.68302
2024-04-26 09:00:00+00:00,64474.99,64581.52,64329.42,853.25155
2024-04-26 10:00:00+00:00,64100.01,64556.45,64059.8,1213.12155
2024-04-26 11:00:00+00:00,64244.02,64264.74,64070.0,590.5194
2024-04-26 12:00:00+00:00,64142.79,64517.99,63950.0,1299.29266
2024-04-26 13:00:00+00:00,64500.01,64582.93,63685.94,2512.04769
2024-04-26 14:00:00+00:00,63854.16,64820.01,63791.91,3167.80878
2024-04-26 15:00:00+00:00,63503.22,64030.0,63297.48,2711.62015
2024-04-26 16:00:00+00:00,63662.51,63786.31,63318.75,1374.67403
2024-04-26 17:00:00+00:00,64008.4,64115.12,63550.97,1185.88923
2024-04-26 18:00:00+00:00,64060.0,64162.5,63943.82,586.13608
2024-04-26 19:00:00+00:00,63742.05,64131.25,63727.89,566.25171
2024-04-26 20:00:00+00:00,63966.39,64107.32,63742.05,591.75136
2024-04-26 21:00:00+00:00,64059.97,64080.56,63830.0,378.65938
2024-04-26 22:00:00+00:00,63821.93,64059.97,63689.22,558.7028
2024-04-26 23:00:00+00:00,63770.01,63913.46,63756.25,268.08653
2024-04-27 00:00:00+00:00,63181.99,63923.41,62851.0,2114.13087
2024-04-27 01:00:00+00:00,62593.28,63272.72,62391.24,2785.50935
2024-04-27 02:00:00+00:00,62929.97,63325.12,62471.52,1179.96666
2024-04-27 03:00:00+00:00,63082.01,63153.06,62808.0,578.16215
2024-04-27 04:00:00+00:00,63048.57,63175.0,62943.75,635.14919
2024-04-27 05:00:00+00:00,62988.25,63091.82,62808.0,662.08516
2024-04-27 06:00:00+00:00,63028.0,63147.88,62865.46,547.85351
2024-04-27 07:00:00+00:00,62966.83,63160.71,62946.0,397.31671
2024-04-27 08:00:00+00:00,63016.01,63060.0,62913.48,454.7809
2024-04-27 09:00:00+00:00,62984.45,63055.49,62878.78,434.02841
2024-04-27 10:00:00+00:00,62796.0,62991.54,62730.0,675.06558
2024-04-27 11:00:00+00:00,62862.14,62950.0,62673.37,515.81605
2024-04-27 12:00:00+00:00,63034.62,63174.0,62810.29,1448.38454
2024-04-27 13:00:00+00:00,63227.09,63271.79,63006.21,733.00539
2024-04-27 14:00:00+00:00,63131.65,63408.53,63063.82,837.02186
2024-04-27 15:00:00+00:00,62951.75,63212.09,62860.0,485.44443
2024-04-27 16:00:00+00:00,62750.0,63111.89,62750.0,948.11005
2024-04-27 17:00:00+00:00,63416.21,63650.0,62750.0,1543.53726
2024-04-27 18:00:00+00:00,63339.05,63619.96,62821.82,1908.6806
2024-04-27 19:00:00+00:00,63352.11,63388.42,63192.07,513.5246
2024-04-27 20:00:00+00:00,63277.99,63461.53,63160.0,409.41437
2024-04-27 21:00:00+00:00,63289.57,63357.32,63157.98,272.97496
2024-04-27 22:00:00+00:00,63259.99,63474.99,63233.81,466.47485
2024-04-27 23:00:00+00:00,63461.98,63555.56,63259.99,386.62307
2024-04-28 00:00:00+00:00,63616.57,63748.55,63456.86,637.61909
2024-04-28 01:00:00+00:00,63603.6,63698.74,63523.45,405.42161
2024-04-28 02:00:00+00:00,63950.0,64050.0,63552.68,868.50899
2024-04-28 03:00:00+00:00,64021.62,64370.0,63932.78,1474.08693
2024-04-28 04:00:00+00:00,63843.14,64049.99,63827.88,645.62516
2024-04-28 05:00:00+00:00,63953.99,64000.0,63810.0,498.55699
2024-04-28 06:00:00+00:00,63967.14,64017.29,63800.0,642.86388
2024-04-28 07:00:00+00:00,63915.5,64060.0,63894.21,518.62823
2024-04-28 08:00:00+00:00,63709.98,63979.27,63639.17,820.9331
2024-04-28 09:00:00+00:00,63759.33,63823.79,63676.0,403.40056
2024-04-28 10:00:00+00:00,63694.5,63792.6,63345.55,935.90021
2024-04-28 11:00:00+00:00,63484.01,63710.87,63394.68,593.89629
2024-04-28 12:00:00+00:00,63590.03,63673.0,63415.6,584.23839
2024-04-28 13:00:00+00:00,63775.43,63869.09,63534.0,721.19096
2024-04-28 14:00:00+00:00,63607.19,63783.6,63488.0,631.8713
2024-04-28 15:00:00+00:00,63540.0,63652.0,63460.0,484.35903
2024-04-28 16:00:00+00:00,63705.38,63800.4,63483.18,581.54965
2024-04-28 17:00:00+00:00,63768.47,63814.0,63570.3,356.62991
2024-04-28 18:00:00+00:00,63923.99,63976.0,63694.5,516.14116
2024-04-28 19:00:00+00:00,63730.49,63928.0,63715.36,333.66857
2024-04-28 20:00:00+00:00,63686.0,63745.91,63588.72,297.88874
